district,division,climate_zone,year,month,rainfall_mm,river_level_m,soil_saturation_percent,drainage_quality,district_flood_prone,flood_occurred
Matara,Matara-DS6,Wet,2019,4,281.1,3.21,61.3,Moderate,1,1
Colombo,Colombo-DS3,Wet,2019,12,342.6,3.5,56.6,Poor,1,0
Kalutara,Kalutara-DS5,Wet,2009,5,254.6,3.36,54.2,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2022,2,240.7,2.57,48.5,Good,0,0
Gampaha,Gampaha-DS5,Wet,2019,9,321.3,3.33,63.7,Moderate,1,0
Kalutara,Kalutara-DS6,Wet,2010,5,410.9,4.1,52.0,Good,1,1
Colombo,Colombo-DS3,Wet,2010,9,189.9,2.79,48.5,Moderate,1,1
Puttalam,Puttalam-DS4,Dry,2012,2,51.2,1.85,30.1,Moderate,0,0
Matale,Matale-DS6,Intermediate,2014,1,265.2,1.93,40.2,Good,0,0
Vavuniya,Vavuniya-DS4,Dry,2016,9,85.2,1.77,25.8,Moderate,0,0
Mullaitivu,Mullaitivu-DS5,Dry,2010,1,98.8,1.61,39.6,Poor,0,0
Anuradhapura,Anuradhapura-DS3,Dry,2016,12,186.6,2.13,43.8,Good,0,0
Colombo,Colombo-DS5,Wet,2012,5,421.5,3.64,67.7,Moderate,1,1
Trincomalee,Trincomalee-DS1,Dry,2020,4,93.6,2.54,33.2,Poor,1,1
Anuradhapura,Anuradhapura-DS2,Dry,2015,2,173.4,2.11,42.9,Moderate,0,0
Colombo,Colombo-DS3,Wet,2016,7,197.3,3.31,44.7,Poor,1,1
Kilinochchi,Kilinochchi-DS4,Dry,2019,8,50.2,1.52,26.7,Poor,0,0
Anuradhapura,Anuradhapura-DS2,Dry,2008,1,151.5,2.16,39.2,Poor,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2021,8,101.1,1.55,38.6,Poor,0,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2023,10,107.5,2.07,36.4,Good,0,0
